GEOID,state,county,income,income_moe,rent,rent_moe
01001,Alabama,Autauga County,69841,5512,1200,75
01003,Alabama,Baldwin County,75019,2751,1211,42
01005,Alabama,Barbour County,44290,2762,644,41
01007,Alabama,Bibb County,51215,6678,802,129
01009,Alabama,Blount County,61096,3328,743,27
01011,Alabama,Bullock County,36723,6836,635,93
01013,Alabama,Butler County,44881,4130,722,17
01015,Alabama,Calhoun County,55826,2168,804,28
01017,Alabama,Chambers County,49295,5005,850,61
01019,Alabama,Cherokee County,50769,4891,750,74
01021,Alabama,Chilton County,61873,2954,855,65
01023,Alabama,Choctaw County,44483,4856,653,135
01025,Alabama,Clarke County,49167,4873,785,104
01027,Alabama,Clay County,51852,3549,624,130
01029,Alabama,Cleburne County,53319,4481,792,53
01031,Alabama,Coffee County,64672,3538,970,63
01033,Alabama,Colbert County,56736,4001,838,43
01035,Alabama,Conecuh County,42266,4545,781,36
01037,Alabama,Coosa County,57063,5500,682,132
01039,Alabama,Covington County,50886,4230,736,37
01041,Alabama,Crenshaw County,49040,4592,664,31
01043,Alabama,Cullman County,60916,2736,883,56
01045,Alabama,Dale County,53955,2136,863,34
01047,Alabama,Dallas County,36810,3543,749,59
01049,Alabama,DeKalb County,51149,2343,683,34
01051,Alabama,Elmore County,75553,3115,1014,48
01053,Alabama,Escambia County,44447,3904,709,47
01055,Alabama,Etowah County,53070,1864,807,39
01057,Alabama,Fayette County,50733,5743,622,87
01059,Alabama,Franklin County,51493,5249,667,60
01061,Alabama,Geneva County,50951,4889,757,67
01063,Alabama,Greene County,31495,4589,429,254
01065,Alabama,Hale County,41325,5403,723,30
01067,Alabama,Henry County,60135,6853,770,40
01069,Alabama,Houston County,57531,1310,905,17
01071,Alabama,Jackson County,49454,2597,762,32
01073,Alabama,Jefferson County,64589,1226,1132,14
01075,Alabama,Lamar County,47447,5429,548,67
01077,Alabama,Lauderdale County,59082,3460,799,29
01079,Alabama,Lawrence County,60040,5520,708,34
01081,Alabama,Lee County,61123,3017,999,36
01083,Alabama,Limestone County,83534,2861,908,49
01085,Alabama,Lowndes County,35160,4823,663,241
01087,Alabama,Macon County,45951,4468,709,43
01089,Alabama,Madison County,83528,1460,1116,21
01091,Alabama,Marengo County,44205,5009,722,72
01093,Alabama,Marion County,50714,4617,583,54
01095,Alabama,Marshall County,60946,2309,765,25
01097,Alabama,Mobile County,58119,1304,1021,19
01099,Alabama,Monroe County,40225,7307,721,77
01101,Alabama,Montgomery County,58153,2052,1061,20
01103,Alabama,Morgan County,64858,2399,835,29
01105,Alabama,Perry County,34368,4794,610,126
01107,Alabama,Pickens County,47014,3955,600,77
01109,Alabama,Pike County,47961,3371,855,75
