fips,region,division,pop
01001,South,East South Central,58805
01003,South,East South Central,231767
01005,South,East South Central,25223
01007,South,East South Central,22293
01009,South,East South Central,59134
01011,South,East South Central,10357
01013,South,East South Central,19051
01015,South,East South Central,116441
21135,South,East South Central,13080
21137,South,East South Central,24275
21139,South,East South Central,8888
21141,South,East South Central,27432
21143,South,East South Central,8680
21145,South,East South Central,67875
21147,South,East South Central,16888
21151,South,East South Central,92701
21155,South,East South Central,19581
21157,South,East South Central,31659
21161,South,East South Central,17120
21163,South,East South Central,30003
21167,South,East South Central,22641
21169,South,East South Central,10286
21173,South,East South Central,28114
21175,South,East South Central,13726
21179,South,East South Central,46738
21181,South,East South Central,7537
21185,South,East South Central,67607
21187,South,East South Central,11278
21191,South,East South Central,14644
21195,South,East South Central,58669
21197,South,East South Central,13129
21201,South,East South Central,2193
21203,South,East South Central,16037
21207,South,East South Central,17991
21209,South,East South Central,57155
21213,South,East South Central,19594
21215,South,East South Central,19490
21219,South,East South Central,12243
21223,South,East South Central,8474
21225,South,East South Central,13668
21229,South,East South Central,12027
21231,South,East South Central,19555
21235,South,East South Central,36712
21237,South,East South Central,6562
23001,Northeast,New England,111139
23003,Northeast,New England,67105
23007,Northeast,New England,29456
23009,Northeast,New England,55478
23013,Northeast,New England,40607
23015,Northeast,New England,35237
23019,Northeast,New England,152199
23021,Northeast,New England,16800
23025,Northeast,New England,50477
23029,Northeast,New England,31095
23031,Northeast,New England,211972
27003,Midwest,West North Central,363887
27005,Midwest,West North Central,35183
27007,Midwest,West North Central,46228
27009,Midwest,West North Central,41379
27011,Midwest,West North Central,5166
27013,Midwest,West North Central,69112
27015,Midwest,West North Central,25912
27017,Midwest,West North Central,36207
27019,Midwest,West North Central,106922
27021,Midwest,West North Central,30066
27023,Midwest,West North Central,12598
27025,Midwest,West North Central,56621
47121,South,East South Central,12758
47125,South,East South Central,220069
47127,South,East South Central,6461
47131,South,East South Central,30787
47133,South,East South Central,22511
47137,South,East South Central,5001
47139,South,East South Central,17544
47143,South,East South Central,32870
47145,South,East South Central,53404
47149,South,East South Central,341486
47151,South,East South Central,21850
47153,South,East South Central,15826
47157,South,East South Central,929744
47159,South,East South Central,19904
47163,South,East South Central,158163
47165,South,East South Central,196281
47169,South,East South Central,11615
47171,South,East South Central,17928
47175,South,East South Central,6168
47177,South,East South Central,40953
47181,South,East South Central,16232
47183,South,East South Central,32902
47187,South,East South Central,247726
47189,South,East South Central,147737
49003,West,Mountain,57666
49005,West,Mountain,133154
49009,West,Mountain,935
49011,West,Mountain,362679
49015,West,Mountain,9825
49017,West,Mountain,5083
49019,West,Mountain,9669
49021,West,Mountain,57289
49023,West,Mountain,11786
49025,West,Mountain,7667
49027,West,Mountain,12975
